old_path,new_path,capture_timestamp,capture_date,camera_slug,make,model,width,height
303C71B2-3E5C-4E02-BB69-EA12F46A2ACA 2.JPG,mkjr_20250301_sony-ilce-7cm2_003.jpg,2025-03-01 08:41:01 +0000,20250301,sony-ilce-7cm2,SONY,ILCE-7CM2,3907,5906
309962B2-1590-4E13-B22D-13434DCCA309 2.JPG,mkjr_20231110_sony-ilce-7cm2_003.jpg,2023-11-10 10:02:55 +0000,20231110,sony-ilce-7cm2,SONY,ILCE-7CM2,3072,4608
41E6D08E-B00C-4244-9435-2214FCC4E751 2.JPG,mkjr_20231115_sony-ilce-7cm2_001.jpg,2023-11-15 12:45:54 +0000,20231115,sony-ilce-7cm2,SONY,ILCE-7CM2,2492,3742
482823D7-EC79-4928-B6A8-58B1F79B1573 2.JPG,mkjr_20250227_sony-ilce-7cm2_001.jpg,2025-02-27 09:41:25 +0000,20250227,sony-ilce-7cm2,SONY,ILCE-7CM2,4672,7008
4CA3D024-C155-47FF-AFFC-AE357CD162FB 2.JPG,mkjr_20231106_sony-ilce-7cm2_001.jpg,2023-11-06 13:07:38 +0000,20231106,sony-ilce-7cm2,SONY,ILCE-7CM2,4528,6859
4D8E5E16-D039-4453-9EF5-953A9374D6CF 2.JPG,mkjr_20250301_sony-ilce-7cm2_001.jpg,2025-03-01 08:12:09 +0000,20250301,sony-ilce-7cm2,SONY,ILCE-7CM2,4216,6330
5362 - 14.JPG,mkjr_20210901_noritsu-scan_001.jpg,2021-09-01 08:31:49 +0000,20210901,noritsu-scan,NORITSU KOKI,QSS-32_33,2398,3616
57997AA2-C0D6-4624-9E92-B5AB06B4CC71 2.JPG,mkjr_20241007_sony-ilce-7cm2_001.jpg,2024-10-07 10:55:11 +0000,20241007,sony-ilce-7cm2,SONY,ILCE-7CM2,3959,6101
5D2FE620-E0AF-4EB1-8635-A17A7AC7B3F6 2.JPG,mkjr_20250223_sony-ilce-7cm2_001.jpg,2025-02-23 11:37:34 +0000,20250223,sony-ilce-7cm2,SONY,ILCE-7CM2,4227,6346
5E565D71-6B59-46BB-9009-F6EFCE24B882 2.JPG,mkjr_20230621_canon-eos-7d_001.jpg,2023-06-21 12:41:28 +0000,20230621,canon-eos-7d,Canon,Canon EOS 7D,2412,3628
669E92D5-478A-4E5C-9789-03F49CD485FE 2.JPG,mkjr_20241004_sony-ilce-7cm2_002.jpg,2024-10-04 12:34:09 +0000,20241004,sony-ilce-7cm2,SONY,ILCE-7CM2,4147,6227
6C71C356-7F15-4EE3-A738-1CDD61F2A0DE 2.JPG,mkjr_20231109_sony-ilce-7cm2_002.jpg,2023-11-09 15:35:21 +0000,20231109,sony-ilce-7cm2,SONY,ILCE-7CM2,2657,3990
750582C0-F708-4176-A5BF-30617B416DFD 2.JPG,mkjr_20190621_canon-eos-7d_001.jpg,2019-06-21 05:40:26 +0000,20190621,canon-eos-7d,Canon,Canon EOS 7D,2290,3441
761296DF-4593-421E-950F-60721DC3B376 2.JPG,mkjr_20240506_sony-ilce-7cm2_002.jpg,2024-05-06 11:41:17 +0000,20240506,sony-ilce-7cm2,SONY,ILCE-7CM2,4672,7008
78E79029-A136-4D44-B7C2-F1564E73867E 2.JPG,mkjr_20240504_sony-ilce-7cm2_001.jpg,2024-05-04 07:53:25 +0000,20240504,sony-ilce-7cm2,SONY,ILCE-7CM2,3976,5969
79D53DCB-7F11-4273-8AD1-213CBB03FB8B 2.JPG,mkjr_20250227_sony-ilce-7cm2_006.jpg,2025-02-27 11:01:51 +0000,20250227,sony-ilce-7cm2,SONY,ILCE-7CM2,3806,5635
7A2E64AD-0276-4570-9DC5-6040006DB473 2.JPG,mkjr_20231109_sony-ilce-7cm2_003.jpg,2023-11-09 16:04:00 +0000,20231109,sony-ilce-7cm2,SONY,ILCE-7CM2,2787,4184
7D28D6BE-E670-48B4-ADAE-AA3028D26815 2.JPG,mkjr_20250414_sony-ilce-7cm2_002.jpg,2025-04-14 09:59:50 +0000,20250414,sony-ilce-7cm2,SONY,ILCE-7CM2,4281,6428
8240B41F-239D-40D3-84B6-EE1926E1E40A 2.JPG,mkjr_20250227_sony-ilce-7cm2_005.jpg,2025-02-27 10:58:21 +0000,20250227,sony-ilce-7cm2,SONY,ILCE-7CM2,3748,5627
8A6966E5-B428-4087-9DEB-9BD61B9DF0B0 2.JPG,mkjr_20230621_canon-eos-7d_003.jpg,2023-06-21 14:52:44 +0000,20230621,canon-eos-7d,Canon,Canon EOS 7D,2413,3631
8B9F0F2B-FBFE-4D32-9EB1-05506D7DC3EE 2.JPG,mkjr_20230621_canon-eos-7d_004.jpg,2023-06-21 15:24:17 +0000,20230621,canon-eos-7d,Canon,Canon EOS 7D,2509,3775
8BEA3292-EA1B-4159-B3A8-B875AE56C170 2.JPG,mkjr_20231116_sony-ilce-7cm2_001.jpg,2023-11-16 09:54:02 +0000,20231116,sony-ilce-7cm2,SONY,ILCE-7CM2,2769,4258
8C131EFC-7702-4587-AD7C-6E2D917C91A9 2.JPG,mkjr_20250227_sony-ilce-7cm2_004.jpg,2025-02-27 10:56:54 +0000,20250227,sony-ilce-7cm2,SONY,ILCE-7CM2,3572,5363
